Funct,Funct,Funct,Pronoun,Ppron,I,We,You,SheHe,They,Ipron,Article,Verbs,Verbs,Verbs,AuxVb,Past,Present,Present,Future,Adverbs,Prep,Conj,Negate,Quant,Numbers,Swear,Social,Social,Social,Family,Friends,Humans,Affect,Affect,Affect,Affect,Affect,Affect,Posemo,Posemo,Posemo,Negemo,Negemo,Negemo,Negemo,Anx,Anger,Anger,Sad,CogMech,CogMech,CogMech,CogMech,CogMech,Insight,Insight,Cause,Discrep,Tentat,Certain,Inhib,Incl,Excl,Percept,Percept,See,Hear,Feel,Bio,Bio,Bio,Bio,Body,Body,Health,Health,Sexual,Ingest,Relativ,Relativ,Relativ,Relativ,Relativ,Motion,Space,Space,Time,Time,Work,Work,Work,Achiev,Achiev,Leisure,Leisure,Home,Money,Money,Relig,Relig,Death,Assent,Nonflu,Filler
a,he's,since,anybod.*,hed,i,lets,thee,he,their.*,anybod.*,a,accepted,hasnt,slept,aint,accepted,admit,isn't,couldve,about,about,also,aint,all,billion.*,arse,acquainta.*,gives,persons,aunt.*,acquainta.*,adult,abandon.*,damn.*,fume.*,kindn.*,privileg.*,supporting,accept,freed.*,partie.*,abandon.*,enrag.*,maddening,snob.*,afraid,abuse.*,jealous.*,abandon.*,abandon.*,conflict.*,harness.*,needed,should've,accept,informs,activat.*,besides,allot,absolute,abandon.*,add,but,acid.*,purpl.*,beaut.*,audibl.*,brush.*,abdomen.*,disease.*,intox.*,scab.*,abdomen.*,knuckle.*,abortion.*,itch.*,abortion.*,alcohol.*,above,constantly,goes,october,spring,act,above,meter.*,abrupt.*,like,absent.*,feedback,profs,abilit.*,master,actor.*,martini.*,address,account.*,jackpot.*,afterlife.*,moral,autops.*,absolutely,er,blah
about,highly,singl.*,anyone.*,he'd,Id,let's,thine,hed,them,anyone.*,alot,admit,hasn't,sold,ain't,admitted,admits,it's,could've,absolutely,above,although,ain't,allot,dozen.*,arsehole.*,admit,giving,person's,bro,amigo.*,adults,abuse.*,danger.*,fuming,kiss.*,prize.*,supportive.*,accepta.*,freeing,party.*,abuse.*,envie.*,madder,sob,alarm.*,abusi.*,jerk,ache.*,absolute,confus.*,hazie.*,needing,sign,accepta.*,inquir.*,affect,could,almost,absolutely,abstain.*,addit.*,either,acrid.*,quiet.*,black,audio.*,caress.*,abortion.*,dish,itch.*,scalp,abs,leg,ache.*,iv,aids,anorexi.*,abrupt.*,continu.*,going,off,stage,action.*,across,metre.*,after,long,academ.*,finaliz.*,program.*,able.*,mastered,actress.*,meditat.*,apartment.*,atm,kopek.*,agnost.*,morality,alive,agree,hm.*,idontknow
above,him,six.*,anything,her,I'd,our,thou,he'd,themselves,anything,an,admits,hate,spent,am,affected,aint,ive,gonna,actually,across,and,arent,alot,eight.*,arses,admits,gossip.*,persua.*,bros,bf.*,babe.*,abusi.*,daring,fun,laidback,problem.*,supports,accepted,freely,passion.*,abusi.*,envious,maddest,sobbed,anguish.*,aggravat.*,jerked,aching,absolutely,conscious.*,hazy,neednt,since,accepted,insight.*,affected,couldnt,alot,accura.*,anal,along,except,aroma.*,rancid.*,blacke.*,boom.*,cold.*,abs,dishes,iv,schizophren.*,anal,legs.*,aching,leuke.*,arous.*,appeti.*,across,corner,gone,old,stair.*,advanc.*,air,mid,afterlife.*,longe.*,accomplish.*,finals,project ,accomplish.*,masterful.*,aerobic.*,minesweeper,backyard,atms,kron.*,alla,morals,bereave.*,ah,sigh,imean
absolutely,himself,so,everybod.*,hers,I'll,ours,thoust,her,they,everybod.*,the,admitted,hated,spoke.*,are,appeared,ain't,I've,gotta,again,after,as,aren't,amount.*,eleven,ass,admitted,grandchil.*,phone.*,brother.*,boyf.*,babies,accept,darlin.*,funn.*,lame.*,profit.*,suprem.*,accepting,freeness,peace.*,ache.*,envy.*,maniac.*,sobbing,anxi.*,aggress.*,jerks,agoniz.*,abstain.*,consequen.*,held,need'nt,solution.*,accepting,inspir.*,affecting,couldn't,ambigu.*,all,avert.*,and,exclu.*,audibl.*,rang,blackish.*,choir.*,cool.*,ache.*,dizz.*,jaw.*,scrape.*,ankle.*,lip,acne,life,ass,ate,act,corners,grew,olden,stand,appear,among.*,middl.*,aftermath.*,march.*,achiev.*,financ.*,projector.*,ace,mastering,amus.*,motel.*,bake.*,auction.*,lease.*,allah.*,mormon.*,burial.*,alright.*,uh,like
across,his,some,everyone.*,herself,Im,ourselves,thy,hers,theyd,everyone.*,,affected,hates,start,arent,arrived,am,keep,he'll,also,against,altho ,cannot,another,fift.*,asses,admitting,granddad.*,phoning,cousin.*,bud,baby.*,accepta.*,daze.*,furious.*,laugh.*,promis.*,sure.*,accepts,freer,perfect.*,aching,evil.*,masochis.*,sobs,apprehens.*,agitat.*,kill.*,agony,accept,conserv.*,hence,needn't,solve,accepts,interpret.*,affects,couldve,any,altogether,avoid.*,around,if,audio.*,rectang.*,blacks,concert.*,drie.*,aching,doctor.*,jissom,screw.*,anus.*,lips.*,addict.*,living,asses,bake.*,action.*,countr.*,ground.*,older,start,appeared,anywhere,mile.*,afternoon.*,meantime,administrat.*,fired,projects,achiev.*,mastermind.*,apartment.*,movie.*,baking,audit,leasing.*,altar.*,mosque.*,buried,aok,um,ohwell
actually,hopefully,somebod.*,everything.*,hes,I'm,us,ya,herself,they'd,everything.*,,aint,have,started,aren't,asked,appear,keeps,I'll,anyway.*,ahead,because,cant,any,first,asshole.*,adult,granddau.*,prais.*,dad.*,buddies.*,bambino.*,accepted,dear.*,fury,lazie.*,protest,surpris.*,active.*,frees.*,play,advers.*,excruciat.*,melanchol.*,solemn.*,asham.*,anger.*,liar.*,alone,accepta.*,consider,hesita.*,needs,solved,acknowledg.*,justif.*,aggravat.*,could've,anybod.*,always,ban,both,just,beaut.*,red,blind.*,deaf.*,drily,acne,dosage,jizz,seduc.*,appendix,liver.*,advil,lozenge.*,bi,baking,advanc.*,coverage,grow,oldest,started,appearing,apart,narrow.*,afterthought.*,meanwhile,advertising,firing,prom,acquir.*,masters,art,mtv.*,balcon.*,audited,lira,amen,muhamm.*,bury,aw,umm.*,rr.*
after,how,somehow,hed,he's,ive,we,yall,hes,theyll,it,,ain't,havent,starts,be,ate,appears,know,itll,anywhere,along,but,can't,anymore,firstly,bastard.*,adults,grandf.*,private,daughter.*,buddy.*,boy,accepting,decay.*,geek.*,lazy,protested,suspicio.*,admir.*,friend.*,played,afraid,exhaust.*,mess,sorrow.*,aversi.*,angr.*,lied,broke,accepted,considered,hold.*,neglect.*,solves,adjust.*,knew,allow.*,desir.*,anyhow,apparent,banned,came,not,bitter.*,redde.*,blond.*,ear,dry.*,addict.*,dose.*,joints,seizure.*,arch,lung.*,aids,lump,boner.*,bar,after,cross.*,growing,on,starter.*,appears,area.*,nation.*,afterward.*,min,advis.*,franchis.*,promot.*,acquisition.*,mastery,artist.*,museum.*,bath.*,auditing,loan.*,amish,mujahid.*,casket.*,awesome,well,yakno.*
again,however,someone.*,he'd,him,I've,we'd,y'all,he's,they'll,itd,,am,haven't,stayed,became,became,are,knows,it'll,apparently,among.*,cuz,couldnt,besides,firsts,bitch.*,advice,grandkid.*,provide,ex,colleague.*,boy's,accepts,defeat.*,genero.*,liabilit.*,protesting,sweet,ador.*,fun,playful.*,aggravat.*,fail.*,messy,sorry,avoid.*,annoy.*,lies,cried,accepting,considering,hope,never,solving,admit,know,attribut.*,expect.*,anyone.*,assur.*,banning,close,or,black,reddish.*,blue.*,ears,edge,advil,dosing,kidney.*,sensation,arm,mouth.*,alcohol.*,lymph.*,boob.*,bars,afterlife.*,cruis.*,grown,once,starting,approach.*,around,near,again,minute.*,agent,frat,psych,adequa.*,medal.*,arts,musi.*,bed,auditor,lotter.*,angel,musl.*,casualt.*,cool,zz.*,ykn.*
against,hundred.*,something.*,her,himself,me,we'll,ye,him,theyve,it'd,,appear,having,stood,become,been,arent,lets,may,around,around,how,couldn't,best ,five,bloody,advis.*,grandm.*,public,exes,companion,boys.*,ache.*,defect.*,gentle,liar.*,proud.*,sweetheart.*,advantag.*,funn.*,playing,aggress.*,fake,miser.*,spite.*,awkward.*,antagoni.*,lous.*,cries,accepts,considers,hoped,news,some,admits,knowab.*,based,hope,anything,blatant.*,bans,come,rather,blacke.*,redness,bright.*,harmon.*,edges,aids,dr,kiss.*,sensations,armpit.*,mucous.*,alive,mammogram,breast.*,beer.*,aftermath.*,current.*,growth,onto,starts,arrival.*,at,neared,age,modern.*,agents,fratern.*,psychol.*,advanc.*,mediocr.*,athletic.*,nap,bedding,auditors,mastercard.*,angelic.*,nun,cemet.*,duh,,youknow
